Query,Label
pg sleep time,1
create user name identified pass123 temporary tablespace temp default tablespace user,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 5,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
select name syscolumns id select id sysobjects name tablename,1
select user id 1 1 1 1,1
1 load file char 47 101 116 99 47 112 97 115 115 119 100 1 1 1,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 union select 1 version 1,1
1 1,1
,1
admin 1 1,1
select user id 1 1 1 1,1
1 1,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 5,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
distinct,1
select user id 1 1 1 1,1
1 ascii lower substring select top 1 name sysobjects xtype u 1 1 116,1
select user id 1 1 1 1,1
admin 1 1,1
select user id 1 1 1 1,1
insert,1
select user id 1 1 1 1 1 1,1
select user id 1 1 1 1,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 8,1
select user id 1 1 1 1,1
1 1,1
1 1,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select version 1,1
1 1,1
27 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select version 1,1
1 load file char 47 101 116 99 47 112 97 115,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select 1 1 version 1,1
select user id 1 1 union select null banner v version rownum 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
1,1
select user id 1 1 1 1,1
admin 1 1,1
select user id 1 1 union select null banner v version rownum 1 1,1
x27union select,1
print,1
select user id 1 union select version 1,1
1 1,1
1 pg sleep time,1
select user id 1 1 1 1,1
admin 1 1,1
2 1 3,1
select user id 1 1 1 1 1,1
select user id 1 1 union select null version 1,1
admin 1 1,1
not select system user sa waitfor delay 0 0 2,1
select user id 1 union select 1 banner v version rownum 1 1,1
0 0,1
select user id 1 union select version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
char 4039 41 2b 40select,1
select user id 1 1 1 1 1,1
admin 1 1,1
declare varchar 200 select 0x73656c6,1
0 0,1
select user id 1 1 1 1,1
x x,1
select user id 1 union select 1 version 1,1
sleep 50,1
select user id 1 1 union select null banner v version rownum 1 1,1
1 union select 1 2 3 4 5 6 name sysobjects xtype u,1
select user id 1 1 union select version 1,1
select user id 1 1 union select null version 1,1
select user id 1 1 1 1 1,1
1 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 4,1
select user id 1 union select version 1,1
1 user name dbo,1
not substring select version 24 1 1 waitfor delay 0 0 2,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 union select null version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1 1,1
1 utl inaddr get host address select distinct username select distinct username rownum limit sys users limit 6,1
1 1,1
select user id 1 1 1 1,1
text,1
1234 1 0 union select admin 81dc9bdb52d04dc20036dbd8313ed055,1
select user id 1 1 1 1,1
select user id 1 1 1 union select 1 version 1,1
admin 1 1,1
select user id 1 1 1 1 1,1
,1
1 utl inaddr get host address select distinct username select distinct username rownum limit sys users limit 4,1
select information schema table,1
select user id 1 1 1 1,1
1 pg sleep time,1
select user id 1 union select version 1,1
declare q nvarchar 200 select q 0x770061,1
1 1,1
select user id 1 1 1 1 1,1
declare q nvarchar 200 select q 0x770061006900740066006f0072002000640065006c00610079002000270030003a0030003a0031003000270000 exec q,1
select user id 1 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
unusual unusual,1
1 select version,1
truncate,1
,1
3 3,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
select user id 1 union select 1 version 1,1
admin 1 1,1
select user id 1 1 union select version 1,1
1 benchmark 10000000 md5 1,1
select user id 1 union select 1 version 1,1
1 utl inaddr get host address select sys database name dual,1
0 0,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
not substring select version 25 1 0 waitfor delay 0 0 2,1
1 sleep time,1
select user id 1 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
true,1
execute immediate sel ect u er,1
hi x x,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
admin,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
union select 1 load file etc passwd 1 1 1,1
waitfor delay 0 0 time,1
unusual unusual,1
insert mysql user user host password value name localhost password pass123,1
admin 1 1,1
select user id 1 1 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
like,1
username like char 37,1
pg sleep time,1
select user id 1 1 1 1,1
3 3,1
select user id 1 1 1 1,1
select user id 1 1 1 1 1,1
exec sp,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
admin 1 1,1
waitfor delay 0 0 10,1
select user id 1 union select null version 1,1
select user id 1 union select 1 version 1,1
1 select var temp,1
hi,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 1,1
admin 1 1,1
true,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
1 pg sleep time,1
select user id 1 1 1 1,1
sleep time,1
select user id 1 1 1 1,1
admin 1 1,1
select user id 1 union select 1 version 1,1
exec xp regread,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
1 1 1,1
0 0,1
union select user login char,1
select user id 1 union select 1 version 1,1
admin 1 1,1
1 select,1
select user id 1 1 1 1,1
x 1 select count tabname,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
1 benchmark 10000000 md5 1,1
procedure,1
,1
1 utl inaddr get host address select sys login user dual,1
1 utl inaddr get host address select distinct username select distinct username rownum limit sys users limit 2,1
desc user,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1 1 1,1
,1
,1
select user id 1 1 union select 1 version 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
admin,1
select user id 1 1 1 1,1
utl http request,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 1,1
select user id 1 union select 1 version 1,1
benchmark 10000000 md5 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
1 uni select,1
select user id 1 union select null version 1,1
select user id 1 1 union select null version 1,1
admin 1 1,1
utl http request http 192 168 1 1,1
7659 7659,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
1 utl inaddr get host address select distinct granted role select distinct granted role rownum limit dba role privs grantee sys loginuser limit 6,1
select user id 1 1 1 1,1
true,1
select user id 1 union select 1 version 1,1
select user id 1 union select version 1,1
select user id 1 1 union select 1 version 1,1
true,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
3 3,1
1 utl inaddr get host address select global name global name,1
select user id 1 1 union select null banner v version rownum 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 union select null version 1,1
select user id 1 1 union select version version 1,1
select user id 1 1 1 1 1,1
uid like,1
select user id 1 1 1 1 1,1
select user id 1 union select 1 version 1,1
23 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 union select version 1,1
0 1 1,1
select user id 1 1 1 1,1
admin 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 5,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 7,1
apos,1
sqlvuln,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
,1
hi 1 1,1
select user id 1 union select null banner v version rownum 1 1,1
exec master xp cmdshell ping 172 10 1 255,1
select user id 1 1 1 union select 1 banner v version rownum 1 1,1
select user id 1 union select version 1,1
select information schema table,1
select user id 1 1 1 1,1
select top 1,1
1 1,1
,1
1 1,1
select user id 1 1 union select null version 1,1
select user id 1 union select version 1,1
,1
exec sp addlogin name password,1
select user id 1 union select null banner v version rownum 1 1,1
0x77616974666f722064656c61792027303a303a31302700 exec,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
group userid 1 1,1
select user id 1 1 union select null version 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1 1,1
1 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
,1
declare varchar 22 select,1
select user id 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 1 union select version version 1,1
variable,1
exec master xp cmdshell,1
select user id 1 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select 1a version 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
1 select var temp,1
select user id 1 union select 1 banner v version rownum 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
x x,1
,1
1 1,1
select user id 11 1 union select 1 version 1,1
x x,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 4,1
srvrolemember sysadmin 0 waitfor delay 0 0 2,1
select user id 1 1 1 1,1
select user id 1 union select version 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 union select version version 1,1
1 1,1
,1
x x,1
select user id 1 1 1 1 1,1
select user id 1 union select 1 version 1,1
password,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 union select null version 1,1
1 utl inaddr get host address select distinct granted role select distinct granted role rownum limit dba role privs grantee sys loginuser limit 3,1
1 1,1
admin 1 1,1
select user id 1 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
union select user login char 114 111 111 116,1
select user id 1 1 union select 1 version 1,1
1 1,1
1 utl inaddr get host address select distinct granted role select distinct granted role rownum limit dba role privs grantee sys loginuser limit 5,1
pg sleep time,1
3 3,1
select user id 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
union select information schema table,1
select user id 1 1 1 1,1
benchmark 10000000 md5 1,1
1 utl inaddr get host address select count distinct column name sys tab column,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 7,1
,1
delete,1
waitfor delay 0 0 time,1
1 1,1
1 non existant table 1,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
declare varchar 200 select 0x77616974,1
x userid null,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 union select version 1,1
select user id 1 union select 1 version 1,1
1 utl inaddr get host address select host name v instance,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 2,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
union select,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
x full name like bob,1
x member email null,1
2 1,1
select user id 1 1 1 1 1,1
pg sleep time,1
,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
sleep time,1
sleep 50,1
select user id 1 1 1 union select 1 banner v version rownum 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
sleep time,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 union select version 1,1
select user id 1 union select version 1,1
select user id 1 union select null version 1,1
2 1,1
exec sel ect u er,1
anything x x,1
select user id 1 union select 1 version 1,1
select user id 1 union select 1 banner v version rownum 1 1,1
select user id 1 union select null version 1,1
,1
3 3,1
select user id 1 union select 1 version 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
admin 1 1,1
uni sel ect,1
,1
waitfor delay 0 0 time,1
select user id 1 1 1 1,1
1 waitfor delay 0 0 10,1
bfilename,1
admin 1 1,1
uef,1
password,1
1 sleep time,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 6,1
select user id 1 union select version 1,1
select user id 1 1 union select 1 version 1,1
1 1 select count tablenames,1
sleep time,1
1 utl inaddr get host address select distinct granted role select distinct granted role rownum limit dba role privs grantee sys loginuser limit 8,1
select user id 1 1 1 1 1 1,1
6,1
1,1
1 load file char 110 46 101 120 116 char 39 39 1 0,1
select user id 1 1 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
1 1,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 7,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
whatever whatever,1
declare varchar 200 select 0x73656c65637420404076657273696f6e exec,1
select user id 1 1 1 1,1
,1
1 utl inaddr get host address select count distinct table name sys table,1
select user id 1 union select 1 version 1,1
admin 1 1,1
select user id 1 1 union select version 1,1
select user id 1 1 1 1,1
,1
select user id 1 1 1 1,1
1 1,1
drop table temp,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 2,1
benchmark 10000000 md5 1,1
x x,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
something like,1
not select serverproperty isintegratedsecurityonly 0 waitfor delay 0 0 2,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 4,1
select user id 1 1 1 1,1
exec master xp cmdshell ping 10 10 1 2,1
admin 1 1,1
not select serverproperty isintegratedsecurityonly 1 waitfor delay 0 0 2,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 2,1
select user id 1 union select version version 1,1
select user id 1 1 union select null version 1,1
waitfor delay 0 0 time,1
x userid null,1
select user id 1 1 1 1 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
1 1,1
select user id 1 union select 1a banner v version rownum 1 1,1
admin 1 1,1
select user id 1 1 union select 1 version 1,1
1 load file char 110 46 101 120 11,1
exec,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
1 1,1
select user id 1 1 1 1 1,1
select user id 1 union select version version 1,1
x email null,1
select user id 1 1 union select 1 version 1,1
,1
select user id 1 union select null banner v version rownum 1 1,1
select user id 11 1 union select 1 banner v version rownum 1 1,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
update,1
1,1
select user id 1 1 union select 1 version 1,1
pg sleep time,1
6,1
select user id 1 union select 1 version 1,1
exists,1
,1
text n text,1
select user id 1 union select null version 1,1
select user id 1 union select version 1,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
0 0,1
select user id 1 1 1 1 1 1,1
select user id 1 1 1 1 1,1
select user id 1 1 union select version version 1,1
select user id 1 1 union select version 1,1
password 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
union select null select version,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 union select null version 1,1
select user id 1 1 1 1,1
select user id 1 1 union select 1 version 1,1
1 utl inaddr get host address select banner v version rownum 1,1
select user id 1 1 1 1,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 3,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
union select,1
asc,1
myappadmin adduser admin newpass,1
exec sp addsrvrolemember name sysadmin,1
select user id 1 1 union select 1 version 1,1
true,1
select user id 1 1 union select 1 banner v version rownum 1 1,1
1 utl inaddr get host address select distinct password select distinct password rownum limit sys user limit 3,1
userid like,1
union select null null select version,1
,1
select user id 1 1 1 1,1
admin,1
select user id 1 union select 1 version 1,1
waitfor delay 0 0 time,1
select user id 1 union select version 1,1
select user id 1 1 1 1,1
admin 1 1,1
union select version,1
,1
sleep time,1
union select null null null null null select version,1
select user id 1 union select 1 version 1,1
select user id 1 union select version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 union select null version 1,1
select user id 1 1 1 1,1
hi,1
select name syscolumns id sele,1
select user id 1 1 1 1 1,1
not substring select version 25 1 5 waitfor delay 0 0 2,1
select user id 1 union select 1 version 1,1
2 1 3,1
union select version,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 8,1
exec master xp cmdshell nslookup www google com,1
isnull 1 0,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
declare q nvarchar 200 0x730065006c00650063,1
,1
union select version,1
select user id 1 1 1 union select 1 version 1,1
admin 1 1,1
exists,1
select user id 1 union select 1 version 1,1
declare varchar 8000 select 0x73656c,1
select user id 1 union select version 1,1
select user id 1 union select 1 banner v version rownum 1 1,1
select user id 1 1 1 1,1
select user id 1 union select 1 1a version 1,1
begin declare var varchar 8000 set var select var var login password user login,1
union select null null null null select version,1
hi 1 1,1
union select,1
select user id 1 1 1 1,1
select user id 1 1 union select version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1 1,1
desc,1
select user id 1 1 1 1 1,1
anything x x,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 1 1,1
0x770061006900740066006f0072002000640065006c00,1
select user id 1 union select version version 1,1
select user id 1 union select 1 version 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
isnull 1 0,1
insert user login password level value char 0x70 char 0x65 char 0x74 char 0x65 char 0x72 char 0x70 char 0x65 char 0x74 char 0x65 char 0x72 char 0x64,1
select user id 1 1 1 1 1,1
select user id 1 1 1 1,1
admin 1 1,1
admin 1 1,1
user like,1
admin 1 1,1
sleep time,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
,1
select user id 1 union select version 1,1
admin 1 1,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 3,1
select user id 1 1 1 1,1
select user id 1 1 1 1,1
x 1 1 x,1
1 utl inaddr get host address select distinct table name select distinct table name rownum limit sys table limit 8,1
select user id 1 union select 1 version 1,1
x x,1
,1
select user id 1 1 union select version version 1,1
select user id 1 union select 1 version 1,1
select user id 1 union select null version 1,1
select user id 1 union select version 1,1
select user id 1 1 union select null version 1,1
select user id 1 union select null version 1,1
select user id 1 1 union select null version 1,1
sleep time,1
1 1,1
,1
select user id 1 1 1 1 1 1,1
group userid 1 1,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
0 0,1
0 0,1
pg sleep time,1
1 1,1
select user id 1 1 1 union select version 1,1
select user id 1 1 1 union select 1 version 1,1
select user id 1 1 union select 1 version 1,1
1 utl inaddr get host address select count distinct username sys users,1
sqlvuln,1
select user id 1 1 1 1,1
select user id 1 1 union select version 1,1
0x730065006c0065006300740020004000400076006500,1
select user id 1 union select 1 1 version 1,1
select user id 1 union select version version 1,1
declare varchar 8000 select 0x73656c65637420404076657273696f6e,1
select user id 1 1 1 1,1
,1
select user id 1 1 1 1,1
1 utl inaddr get host address select distinct column name select distinct column name rownum limit tab column limit 6,1
select user id 1 union select 1 version 1,1
username like char 37,1
select user id 1 1 union select version version 1,1
something thing,1
name,1
1 select version,1
declare q nvarchar 4000 select q,1
select user id 1 union select 1 version 1,1
1 utl inaddr get host address select distinct granted role select distinct granted role rownum limit dba role privs grantee sys loginuser limit 2,1
